PlayerID,Fname,Lname,Position,Overall,TeamID,Age,Year,InjuryType,InjuryDuration,Potential,PlayerStatus,Hometown
pID1,Owen,McBride,TE,45,1,19,Sophomore,,,65,Current,"Glasgow,OR"
pID2,Vince,Rice,OG,55,2,19,Sophomore,,,73,Current,"Morley,IA"
pID3,Trenton,Roy,CB,99,3,21,Senior,,,64,Current,"Nesconset,NY"
pID4,Newton,Snider,DE,52,4,21,Senior,,,80,Current,"Willow Springs,IL"
pID5,Stevie,Webster,QB,79,5,18,Freshman,,,62,Current,"Essex,MO"
pID6,Zackary,Holmes,DT,68,6,19,Sophomore,,,70,Current,"Sylvan Grove,KS"
pID7,Rickey,Ray,OT,49,7,19,Sophomore,,,67,Current,"La Presa,TX"
pID8,Edgardo,Blair,CB,78,8,20,Junior,,,51,Current,"Bennett,IA"
pID9,Benny,Weeks,K,78,9,20,Junior,,,94,Current,"Belmont,CA"
pID10,Anton,Townsend,CB,55,10,20,Junior,,,63,Current,"Ducktown,TN"
pID11,Maximo,Wallace,TE,59,11,19,Sophomore,,,81,Current,"Mud Lake,ID"
pID12,Rodolfo,McIntosh,TE,68,12,18,Freshman,,,73,Current,"Cameron,SC"
pID13,Omar,Morrison,TE,53,13,19,Sophomore,,,91,Current,"White Bluff,TN"
pID14,Ollie,Obrien,DT,73,14,22,Senior,,,55,Current,"Lone Tree,IA"
pID15,Alan,Armstrong,TE,41,15,20,Junior,,,57,Current,"Brittany Farms-The Highlands,PA"
pID16,Merle,Foster,OG,52,16,20,Junior,,,67,Current,"Lake Wissota,WI"
pID17,Grant,Raymond,K,88,17,20,Junior,,,66,Current,"Dimondale,MI"
pID18,Jae,Nash,LB,54,18,20,Junior,,,63,Current,"Burlingame,KS"
pID19,Caleb,Stein,P,45,19,19,Sophomore,,,51,Current,"Mount Vernon,IN"
pID20,Merlin,Walter,QB,92,20,20,Junior,,,61,Current,"Unionville,PA"
pID21,Houston,Cortez,K,46,21,19,Sophomore,,,57,Current,"Willoughby,OH"
pID22,Maynard,Jones,K,68,22,21,Senior,,,86,Current,"Warsaw,VA"
pID23,Danial,Harding,OT,55,23,20,Junior,,,46,Current,"Rowena,TX"
pID24,Sammie,Erickson,WR,56,24,20,Junior,,,71,Current,"Chatfield,MN"
pID25,Willian,Stevens,DE,80,25,21,Senior,,,77,Current,"Plymouth,IL"
pID26,Kurtis,Morton,RB,63,26,20,Junior,,,82,Current,"Williamsburg,NM"
pID27,Al,Alvarez,P,52,27,18,Freshman,,,83,Current,"Slidell,LA"
pID28,Garrett,Todd,S,75,28,22,Senior,,,63,Current,"Keansburg,NJ"
pID29,Efrain,Newman,RB,91,29,21,Senior,,,90,Current,"Pinckard,AL"
pID30,Bruce,Ross,OG,60,30,20,Junior,,,68,Current,"Potwin,KS"
pID31,Guy,Barrett,DT,54,31,20,Junior,,,67,Current,"Smiths Station,AL"
pID32,Shawn,Jones,WR,74,32,20,Junior,,,65,Current,"Jolmaville,WI"
pID33,Milo,Pearson,DE,81,33,21,Senior,,,66,Current,"Littleton Common,MA"
pID34,Lucio,Wall,CB,77,34,20,Junior,,,90,Current,"Shelby,AL"
pID35,Monty,Holland,RB,67,35,19,Sophomore,,,44,Current,"Trimountain,MI"
pID36,Elwood,Joseph,C,55,36,18,Freshman,,,53,Current,"Landess,IN"
pID37,Hyman,Villarreal,DT,87,37,20,Junior,,,59,Current,"La Villita,NM"
pID38,Reyes,Jenkins,C,77,38,24,Senior,,,66,Current,"Marcelline,IL"
pID39,Ricardo,Crawford,DE,51,39,20,Junior,,,57,Current,"Hogansville,GA"
pID40,Scot,Russo,DE,72,40,19,Sophomore,,,72,Current,"West Mifflin,PA"
pID41,Julio,Winters,QB,59,41,20,Junior,,,70,Current,"Leslie,MO"
pID42,Rupert,Neal,S,56,42,21,Senior,,,65,Current,"Lauderdale Lakes,WI"
pID43,Jeffrey,Osborne,P,62,43,18,Freshman,,,52,Current,"Garnavillo,IA"
pID44,Vince,Mueller,RB,69,44,20,Junior,,,63,Current,"Elsmere,KY"
pID45,Bert,Barton,DT,55,45,20,Junior,,,53,Current,"Yates City,IL"
pID46,Samual,Cummings,K,60,46,20,Junior,,,68,Current,"Woodloch,TX"
pID47,Sean,Spencer,CB,69,47,19,Sophomore,,,58,Current,"Benicia,CA"
pID48,Van,Santiago,DE,63,48,20,Junior,,,56,Current,"McKeansburg,PA"
pID49,Gonzalo,Stephenson,P,63,49,23,Senior,,,56,Current,"Barry,IL"
pID50,Kelly,Jones,TE,73,50,24,Senior,,,63,Current,"Garfield,WA"
pID51,Long,Snider,P,72,51,24,Senior,,,70,Current,"Bernard,IA"
pID52,Roman,Montgomery,DE,53,52,20,Junior,,,75,Current,"Marion,MI"
pID53,Waylon,Watkins,QB,99,53,20,Junior,,,52,Current,"Moraga,CA"
pID54,Wayne,Potter,LB,74,54,18,Freshman,,,87,Current,"Flatwoods,KY"
pID55,Alexander,Norman,TE,79,55,22,Senior,,,57,Current,"Los Indios,TX"
pID56,Wilmer,Woods,QB,57,56,21,Senior,,,79,Current,"New Hope,PA"
pID57,Boris,Diaz,QB,58,57,19,Sophomore,,,75,Current,"Roby,TX"
pID58,Calvin,Weiss,TE,68,58,19,Sophomore,,,82,Current,"Willard,OH"
pID59,Sergio,Nichols,WR,60,59,19,Sophomore,,,70,Current,"Caney City,TX"
pID60,Denis,Stephens,QB,66,60,21,Senior,,,60,Current,"Rexford,KS"
